content_names,content_dates,content_hits,content_coms
0,2017-06-04 21:00:00,19,"#대나무41112
""안녕. 처음 대숲을 써보네요.

쓴다면 당신과 행복한 얘기로 가득찬 제보를 올리고 싶었는데. 너무 행복했었는데. 

그런 생각을 해요 우리가 좀 더 나이 든 후에 만났으면 어땠을까, 서로를 좀 더 이해할 수 있었을까. 왜 너무 일찍 만나서 서로 서툴게 대했을까.

당신은 날 많이 이해해줬고 사랑했어요. 아낌없이 사랑했으니까 후회도 없겠죠? 헤어지자는 말을 하기까지 많은 생각을 했을테니까요.

내가 욕심이 너무 많았어요, 미안해요. 
항상 당신에게 여유를 가지라고, 조급해하지 말자고 말했는데, 정작 내가 여유가 없었어요. 
학점, 알바, 친구, 나만의 시간 모두 이해해주던 당신은 그런 나에게 지쳤던 거겠죠. 여유가 없으니 대화도 따뜻하지 못했어요. 
내가 참 이기적이었단 걸 지난 후에야 알았어요.

내가 연애 초에 우리는 부족한게 많다고 생각하지 말고 채워나가는 과정이라고 생각하자고 했는데, 정작 나는 날 채우지 못했어요. 채우고 있는 당신에게 부담만 줬죠.
어느새 달라져 있었던 당신의 눈빛을 생각하면 아직도 눈물이 나요.

시간 날 때마다 계속 자고 있어요. 장소가 어디든 자기 전에 울면서 자고, 꿈같은 현실에 울면서 깨요. 당신이 원했던 것처럼 나는 바쁘게 살 수가 없어요. 당신이 없는 내 세상은 온통 까맣거든.

그동안 고생했어요 내 사랑.
나도 당신에게 서운한 게 많았고, 당신에게 여유가 없어 나에게도 힘겨운 지난 날들도 있었지만 정말 정말 많이 사랑했어요. 

다시 기회가 있으면 좋겠지만, 당신은 변하지 않을 것 같아요. 내일 우리의 관계를 다시 정하기로 했지만, 그래도 희망고문 하지 않으려 노력하는 중이에요.

내일이 지나면 날 잊고 있는 만큼 나도 잊어보려 노력할게요.
우리가 우스갯소리로 말하곤 했던 '하고 싶은 것, 해야 할 것' 하자는 얘기야.
함께가 아니고 나랑 당신 각자의 길을 걷겠지만.

눈부신 당신의 미래만 생각했으면. 사랑하는 당신이 평생 행복하길 바라. 이 글을 쓰는 지금도 당신의 연락을 기다리고 있지만, 그럴리는 없겠지

아직 내 방은 당신으로 가득 차 있어
왼쪽 네번째 손가락이 너무 가벼워서 힘겨워 
시간이 해결해준다지만 너무 보고 싶어 
당신은 그동안 얼마나 힘들었을까
나만 힘들다고 생각해서 너무 미안해
내일 볼 수 있다는 게 나에게 지금 최고로 행복한 일이야. 당신에게서 나오는 말은 내게 비수로 꽂히겠지만.

잘자요, 내 사랑. 오늘도 피곤했을텐데
누구보다 깊이 잠들길. 미안해요."""
1,2017-06-04 20:20:00,3,"#대나무41109
팀플하는데 한시간반 지각하고 아무것도 안하고 결국 니 몫 다 다른사람이 했잖아? 그뿐이야? 개인과제도 결국 너는 친구란 이유로 공유하기로 해놓고 술마시고 자느라 넌 완성안해오고 내꺼 결과만 가져갔지? 그러면서 뭐? 내가 하고 싶다고 할때는 너가 할것처럼 굴더니 이제와서 너 바빠지니까 나한테  할 수 있냐고? 맨날 말뿐이잖아 넌~ 이제 너랑 친구하기 싫다 친구니까 도와줄 수 있지 그래도 니 일은 스스로 해야되는거 아니니?

#대나무41110
""태어나긴했나 다른나라에 있나 
여름되가고있는데 너무 외로워요!!! 살려주세요!!!! 술먹을 돈으로 데이트하고싶어요!!!! 요즘 길거리보면 다커플 ? 나도 커플이고 싶다..."""
2,2017-06-04 19:40:00,5,"#대나무41105
""성추행 공소시효 십년 지났어요 
왜 용기는 지금생기는걸까
멀쩡하게 십년동안 나랑같이 같은 아파트에 사는거 소름끼치는데 ""

#대나무41106
""왜 나는 '당신'들이 생각하는 '동성애'가 선천적 요인만 존재한다고 생각하는지 모르겠다  

나의 관점에서의 동성애는 선천적이지만 당신들의 관점에서는 아니야"""
3,2017-06-04 16:40:00,5,"#대나무41092
""헤어졌어요.
생애 첫 이성친구였어요
처음부터 맘이 확실치 않았나봐요 ㅠ
한달간 사귀고 그냥 놔줬어요. 맘고생은 이미 이주정도 전 
부터 해서 딱히 막 울고 그러진 않더라구요. ㅎ... 눈물은 좀 났어요.
나 그래도 한달간 정말 행복했어. 미안해서 다른사람 안만나려고 하지말고 진짜 좋아하는 사람 생기면 꼭 다시 시작해! 난 응원할 수 있을것 같아.. 그리고 계속 친한사이로라도 남았으면 좋겠어. 넌 정말 좋은 사람인것 같아.""

#대나무41093
""우린..다시는 서로에게 연락을 할수없겠지 난 더이상 연락하지 못하고 오빠는 나에게 연락하지않을테니까..
이제곧 생일이다가오네요  작년에는 같이 연극도보고 케이크도먹고 소소하게 보냈었죠 지금생각하면 그런소소한것도 못하는 사이가되어버렸어요 모든게 나의탓이라는걸 내가가장 잘알기에 더이상 힘들게 하지 않을게요 난 오빠에게 악연 인거에요..  그러니 나쁜년 이라고 나를 묻어두고 앞으로는 말잘통하고 착한 여성분 만나서 아기자기하게 행복하게 연애해요
너무 미안했고 잘살길 바랄게요"""
4,2017-06-04 14:30:00,7,"#대나무41081
""안녕하세욧 얼마전에 펫두노래 추천해달라고 글 올렸던 닝겐입니당ㅎㅎ/ 댓글에서 다들 기억을 지워주는 병원이라는 노래를 추천해주시더라고요!!! 그래서 얼마전에 결제를 해서.. 다운을 받았습니다.... 노래가 너무 좋긴한데요.... 정말 너무 제 이야기같은거 있죠...?ㅜㅜㅜㅜ 너무 내 상황이랑 비슷해요.....  전 두달째 좋아하는 동기가 있는데요! 그 친구와 같은 버스를 타고 학교에 와요. 17새내기는 시간표가 전부 같아서 매일 같은 시간 같은 버스를 타고 오는데... 그녀는 절 몰라봐요.... 그리고 그녀에게 다가가고 싶지만 그녀에겐 이미 한달하고 보름정도 된 남자친구분이 있으셔요ㅜㅜ. 그녀를 좋아하고나서 운좋게 소수로 봉사활동도 같이 다녀오고, 놀이동산도 같이 다녀오고.. 외에도 많은 추억들이 있어서 더 힘듭니다 ㅜㅜ 기억을 지워주는 병원이 실제로 있다면 찾아가고 싶어요....

자 그럼 숲숲이님 제 신청곡을 받아주세욥~~

너를 지울 수 있다고 믿어왔는데
예고 없이 찾아 온 추억들 속에
사랑했던 너 늘 함께했던 너
이젠 어떻게 하죠
난 이제
하루의 시작이 설레는건 
너를 볼까봐
우연히 마주쳐도 좋아 
터질 듯 한 마음
벌써 세달째 
나를 애달프게 만드는 사람
같은 회사에 같은 버스를 
타지만 나를 몰라
너에게 다가갈까 상상만하네
너에겐 이미 다른 사람이 
곁에 있기에
기대와 좌절이 엉킨
내 감정이 매일 
날 괴롭혀 기억을 지워야겠어
오늘 말이야 조금 
특별한 환자가 왔어
낯이 익어 그래 분명 봤어
병원에서 수 많은 추억을 쌓으며
몇 년 동안 여러가지 사연과
사랑을 봐왔지만 
이런 케이스는 처음이야
수술이 불가능해
왜 기억을 지울 수 없다는 거죠 네
이건 말하면 안되는 거지만
당신은 기억을 지운 적이 있어
불과 세달전에 
너를 지울 수 있다고 믿어왔는데
예고 없이 찾아온 추억들 속에
사랑했던 너 늘 함께했던 너
이젠 어떻게 하죠
난 이제
아무리 생각해도 
이건 말이 안돼
기억을 지울만큼 아픈 일이
이미 내게 일어났다니
차라리 만나고 헤어졌다면
이렇게까진 지우고 싶진 않겠지
매일 마주치는 둘을 바라보며
그녀의 손을 잡은 
그 사람이 부러워
가슴이 터질듯 답답해요
내 사랑은 금지된 걸 알기에
지워주세요
분명히 당신이 맞아
똑같은 사진을 들고와서
내게 지워달라 부탁했어 말도 안돼
그때도 그 여자 때문에 왔었어 네
오르지 못 할 나무라며 아파했지 
기껏 기억을 지워 줬더니
같은 여자한테 
사랑에 빠지다니 잘 하는 짓이다
이건 어쩔 수 없어
지워도 지워도 반복될 수 밖에 없는
사랑은 인정 할 수 밖에 없어 
너를 지울 수 있다고 믿어왔는데
예고 없이 찾아온 추억들 속에
사랑했던 너 늘 함께했던 너
이젠 어떻게 하죠
난 이제
갑자기 모든게 무너지고 있어
아픈 사람들을 위해 
만든 병원인데
난 이런 소중한 추억을 
지우고 있었어
이건 잘못됐어 
지우고 또 지워서
흔적조차 없이 난 널 비웠는데
왜 이제
잘 들어 이 현실을 받아들여
기억을 지워주는 병원이
생긴 이후로 사람들은 사랑을
너무 쉽게 잊으려 했어 
기억을 지우려 했어
모든걸 비우려 했어
뭔가 잘못 됐어
난 죄를 짓고 있었어
이런 소중한 추억들을
다 지우고 있었다고 
아프고 아파도 더 아파해도 돼
그만큼 사랑했다는 증거니까
우리 사랑한 시간들
지웠었는데 이제와 찾아오면
나는 어떻게해
사랑했던 너 늘 함께했던 너
보내야만 하는데 왜 이제
살아가며 갖는 수 많은 감정들 속에
사랑이 아프다고 
지우면 모두 끝일까
잠시나마 나를 웃게 만들던 너를
오늘도 난 말 없이 바라본다
사랑할땐 조금 아파도 돼
아픈만큼 성숙해지니까 울어도 돼
나도 오늘 이간호사한테 고백할래
병원은 이제 의미없어 문을 닫겠어 
지울 수 있다고 믿어왔는데
예고 없이 찾아 온 추억들 속에
사랑했던 너 늘 함께했던 너 """
5,2017-06-04 14:20:00,110,"#대나무41080
""너무 힘들어요... 길지만 제 얘기 좀 들어주세요..
어디에라도 털어놓고 싶어요.
무슨 말을 어떻게 시작해야 할지 모르겠어요.
저는 정말 사랑하는 사람이 있어요. 있었어요..
지난 학기에 학교에서 농구를 하면서 알게 되었고
매일 같이 농구하고, 공부하고 하면서 좋아하게 되었고 사귀게 되었어요.
저희는 지난 방학에 함께 전기기사 준비를 했어요.
오빠가 알바 하러 갔을 때 전기기사 인강을 들으려고 오빠 노트북을 켰는데..
오빠 연락 안 한다던 전여자친구과의 대화창이 켜져있었어요..
대화를 읽어보니.. 오빠는 여전히 전여자친구에게 여보라고 부르고 있었어요..
저와 함께 있었던 시간에도 그 여자한테 공허하다고, 여보 보고싶다고 카톡을 보냈었더라구요.
저한테 바빠서 늦게 톡했다고 했던 시간에도 그 여자한테는 카톡을 보냈더라구요.
저한테 거의 하루종일 연락 안 된 날이 있었는데, 그 날 그 여자 졸업식을 가서 만났더라구요.
오빠에게 말했더니 다시 사귀는거 아니라고 좀 있다가 얘기 하자고 하는데, 밤에 전화를 하니까 끊어버리더라구요.
정말 화가 나서 그 여자한테 오빠랑 무슨 사이냐고 카톡을 했어요.
그랬더니 그걸 오빠한테 얘기를 했는지
오빠가 저한테 아무 죄 없는 얘를 왜 끌어 들이냐고, 왜 여러 사람 힘들게 하냐고
예전에 사귈 때 여보라 불렀던 습관 때문에 그런 거고, 친구 사이였는데
저 때문에 그 친구도 잃고 저도 잃은 거라고.. 
뭐 이딴 애가 다 있냐며 상처 주는 말들 퍼붓더라구요..
여기서 끝냈어야 하는데.. 
제가 좋아하는 마음이 너무 커서 오히려 제가 먼저 사과하고 매달렸어요..
그렇게 며칠을 매달린 끝에 오빠가 다시 사귀자고 보고싶다고 했었는데..
그 다음 날 오빠가 갑자기 다시 연락을 끊었어요.
이유라도 말해달라고 계속 연락을 했는데 답이 없다가
일주일 후에 짱나게 하지 말라고, 좀 짜지라고,
연락 안 했으면 알아듣고 찌그러져야지 눈치가 없이 말이 많다고.. 답장이 왔어요.
그 문자를 받고 답을 하지도 못했고 더 이상 연락을 할 수 없었어요.
한참 뒤에 오빠가 저한테 편지를 보냈어요.
그간의 사정과 미안하다는 말들.. 그리고 나중에라도 용서해달라고, 제가 허락한다면 제대로 사과하고 싶다고..
그래서 만나서 얘기하고, 다시 연락하고 다시 사귀게 되었어요.
오빠가 비밀로 사귀어야 한다고 했지만, 제가 좋아하는 마음에 그래도 좋다고 했어요. 
전 여자친구에 대해서 물으니, 그 여자가 오해받기 싫다면서 자기 차단했다고,
연락을 안 한다고 했어요.
그런데 그게 또 거짓말이었더라구요. 
클라우드에는 그 여자 사진, 같이 찍은 사진들이 많이 있었고
(그 여자와의 카톡에서 네이버 비번이 그 여자 이름+생일 이라고 해서.. 진짜일까 로그인 해본 것이고, 함부로 남의 아이디 로그인 해 본 것은 제 잘못이라고 생각하고 있습니다..)
오빠 아이디로 그 여자가 최근에 물건을 구입했더라구요.
물어보니까 네이버페이가 자기 꺼에 등록돼있어서 그런가보다고 하길래
그게 말이 되냐고 했더니 결제한다고 전화 한 번 왔었다고 하더라구요.
그간 저한테 한 거짓말이 엄청 많았었고, 그 여자에 관해서는 저도 더 이상 참을 수 없어서 그 여자분에게 다시 연락했어요.
왜 본인 아이디 놔두고 오빠 아이디로 쇼핑하느냐, 자꾸 그쪽 때문에 싸우게 하지 말라고 문자를 했더니.. 그 여자분이
오빠랑 만나냐고, 오빠는 제가 일방적으로 좋아하는 거라고 했는데 왜 자기한테 연락하냐고 하더라구요. 그 물건도 오빠가 다 알아봐주고 구입해준거라고..
남친 단속 못한 제 잘못이고, 제 존재가 부끄러워서 오빠가 숨긴걸 어따대고 이래라 저러래라냐고 하고...
오빠는 저한테 여태까지 속인 것, 거짓말 한 것에 대해 미안해하기는커녕,
그 여자 편을 들면서 또 연락했냐고, 미쳤냐고, 제가 재활용도 안되는 쓰레기라고 꺼지라고 남한테 피해주지 말라고 막말을 하더라구요.
그렇게 끝이 났어요..
그 후 제 생일에 통화를 했는데, 항상 나쁘고 속여서 미안하다고,
비밀로 사귀어서 주변 사람들이 이런 것들을 아무것도 모르는데,
저에게 못되게 굴고 상처준 것들 주변에 다 말하겠다고 약속하더니
당연히 약속도 지키지 않았고 다음 날 다시 저를 차단했네요.
글이 너무 길어서 다 읽을 사람도 별로 없겠지만,
사귀던 것도 정말 아무한테도 말을 안 해 와서
힘들어도 어디에 말도 못하고 있다가 대숲에라도 말하고 싶었어요.."""
6,2017-06-02 13:00:00,5,"#대나무41032
""대숲 안녕하세요
제가 여기 제보하게될줄은 몰랐네요...
고민이 있는데 주변 친구한테 터놓기도 그래서 여기 한번 제보해봐요ㅠㅠ
저는 이제 곧 반오십이 다되어가는데요 음 거의 모솔이나 마찬가지에요 사겨보긴했으나 다 짧게 사긴거라 사겼다고 하기도 민망한정도......
그래서 제가 연애하는 방법을 잘 모르는것같아요 한마디로 연애고자인거같아요...
한 몇개월전 소개팅이 들어와서 연락을 했는데 만나보지도 않고 그 방을 나가버렸더라구요.... 그게 엄청난 상처가 되서  혼자 이런저런생각을 많이해봤어요 못생겨서 그런가... 아님 뭐가 문제지 이러면서 혼자 아파했는데 얼마 전 또 우연히 소개팅이 들어와서 만났어요! 근데 급한일이있어 먼저 가봐야할것같다고 해서 보내고 제가 먼저 선톡을 했어요! 그래서 잘 주고받다가 몇시간만에 또 카톡이 끊겼네요... 자세한 내용은 얘기못하겠지만 그분이 계산 다하시고 데려다 주기까지 했는데......그래서 또 저에겐 상처로 돌아왔어요... 이제 그냥 소개팅도 지치고 누굴 만난다는것 자체도 지치는것같고 그래요ㅠㅠ 저도 연애하고싶은데 나이가 드니 다들 더 따지면서 만나는것같고 이러다 평생 연애못할까봐 걱정이에요.............................. 진짜ㅠㅠㅠㅠ 연애고자 탈출하는 꿀팁좀 알려주실분있나요?""

#대나무41033
숲숲이! 저는 왜 남자친구가 없을까요? 힝..요리도 잘하고 챙겨주는 것도 좋아하고 웃음도 많은데..꾸밀땐 꾸미고 놀땐 놀 줄도 안다구요! 저두 연애하고싶어요 8ㅅ8.."
7,2017-06-01 07:00:00,24,"#대나무41022
""신기하게도 딱 오늘 내 손목시계가 멈췄어.
딱 우리가 헤어진 오늘.

오늘 하루가 너무나도 길어서, 
이렇게 바빠도 시간이 너무 안가서 습관처럼 손목을 들여다봤다 했는데 어느 순간 멈춰있더라.
아, 진짜 끝이구나.
이제 진짜 너는 없구나.
내일부터 허전해할 내 마음을 받아들이기가 무서워.
너는 당장 지금이라도 바쁜 그 일상들을 보내며 나에게 미안하다고 했던 말들은 잊겠지.

머리를 좀 자르러 가야겠어.
이별이 뭐 대수냐고들 하지만,
머리를 묶을 때마다 니가 생각나.
종강까지 할 일이 너무 많아서 울지도 못 해.
혹시 생각이 바뀌어도 연락하지는 말아주라. 
머리 자른 걸 후회하기 싫거든.

내일도 모레도 시간이 느리게 갈 생각을 하니 벌써부터 답답하네. 
시계나 고치러 가야겠어."""
8,2017-05-31 22:00:00,33,"#대나무41007
처음으로 오늘 알바하는 도중 뛰쳐나가 번호를 땄습니다. 그분은 되게 귀엽고 이 사람을 놓지면 알바하는 내내는 물론 집에 가서도 후회할 것 같아 저도 모르게 뛰쳐나가서 알바복이지만 용기내어 달라고 했습니다.(사실 전에도 오셨는데 말 한번 제대로 못 걸어봐서 그날 하루종일 일이 손에 잡히지 않았습니다) 그런데 저보고 번호를 주시면서 귀엽다고 해주시더라구요. 얼굴 보는 순간에도 계속 떨렸지만 번호를 달라는 순간에도, 그리고 받고 나서도 심장이 떨려서 이게 꿈인지 생시인지 모르겠더라구요. 제게 이런 행복을 주신 것에 대해서 감사합니다.

#대나무41008
"" 안녕하세요! 요즘따라 슬픈 17학번입니다ㅎㅎ 정말 좋아하는 친구가 있어요. 같이 있으면 그저 좋았고 하는 행동 하나하나 다 귀엽고 예쁘게만 보여요~ 그런데 그 친구는 저한테 관심이 없나봐요ㅠ 난 하루종일 그 친구 연락만 기다리고 있는데 그 친구는 잘 답해주는가 싶다가도 잘 답해주지도 않아요ㅠ 자꾸연락하는 제가 귀찮은걸까요?? 집착하는 것처럼 느꼈을까요ㅠ 저같은 경험이 있었던 분들 어떻게 하셨나요??? 마음을 정리 해야할까요.. 
 혼자 끙끙 앓다가 대숲에 한번 제보해요~"""
9,2017-05-30 14:30:00,2,"#대나무41003
안녕하세요 중대생은 아니지만 대나무숲에 재밌는게 가끔 올라와서 팔로우해놓고 눈팅하는 고3학생입니다

지금 저희집 강아지가 배에 혹같은게 있는데 오늘 미용하면서 간호사분께 여쭤보니 아마 유선종양일 가능성이 높다고 하시더라구여 미용하셨으니 진찰은 무료로 해드리겠다고 말씀하시면서 원장님과 상담해서 수술에 관해서도 결정해야한다고 하더라고요 그뒤에 집에 와서 좀더 찾아봤는데 수술비용이 최소 60에 악성이면 120이상까지도 든다고해서 부담이 매우 클거같아서 일단 부모님께 말씀드리니 부모님도 되게 난처해 하시더라고요 8년동안 같이 지낸 강아지인데 대체 어떻게하면 좋을까요? 부모님도 제 고3 뒷바라지랑 형 자취방 월세, 대학 등록금 등 여러가지로 경제적으로 부담이 엄청 큰 상황이라 해달라고 떼를 쓸수도없네요 비슷한 경험 가지고계신분 없나요? 어떻게하면 좋을까요..."
