content_names,content_dates,content_hits,content_coms
0,2017-06-01 18:00:06,3,"어둠의 대나무숲 #231298번째 속삭임

저번에 올라온 인연소리 무료 매칭 있잖아요 알아보니까 인연소리측에서는 전국대학대상으로 따로 준비한적이 없다고 합니다 역시나 이상하단 느낌이 들었는데 개인정보 빼내려는 사기아니였나 의심되네요"
1,2017-06-01 17:30:06,20,"어둠의 대나무숲 #231297번째 속삭임

지금 중도에 서강준 누구냐"
2,2017-06-01 17:00:06,17,"어둠의 대나무숲 #231296번째 속삭임

너는 참 풀꽃 같다

색이 화려하지는 않지만, 향이 진하지는 않지만, 은은하니 늘 곁에 두고싶다

작고 앙증맞은것이 참 귀엽다

매일 귀엽다 귀엽다하니까 자꾸 귀여워져서 더 귀엽다

소박한 만큼소중하고 여린만큼 아껴주고 싶은 너이기에

오늘은 꺾이지도 짓눌리지도 않게

그저 네 옆에 풀썩 누워 마냥 널 바라보고싶다"
3,2017-06-01 16:15:06,2,"어둠의 대나무숲 #231295번째 속삭임

정국과 교수는 사임 했던데 우리 교수는 언제 잡아가나.

어둠의 대나무숲 #231294번째 속삭임

교수 사임하라고 하는 애들 중에 성적 좋은 애들 없다. 100%백퍼 이번에 막말 교수는 나도 잘못 했다고 보는데뭐 하면 사임하라고 하는 게 말이 돼냐. F 받으니까 너도 F 먹어라 하는 거 아님?"
4,2017-06-01 15:45:06,42,"어둠의 대나무숲 #231293번째 속삭임

중앙대학교 방송국 유비에스 꼰대문화 오지네요 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대학방송국이면 이런문화를 없애고 발전하려고 노력해야 하는거 아닌가요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대학 문화를 좋은방향으로 이끌어 나가도 모자랄 판국에 안에서 군대놀이 하고 있으니 우리사회에 발전이 없죠 ..ㅎㅎㅎㅎㅎ 의와 참의 소리는 개뿔 진짜 다들 적당히 했으면 좋겠네요 ㅎㅎ"
5,2017-06-01 15:15:06,1,"어둠의 대나무숲 #231292번째 속삭임

질문있습니다!!
혹시 학내에 연기연극 단편영화 동아리가 있나요?
얼굴도 외모도 키도 뭐든 평범할 뿐이지만 유지태배우님을 본순간 연기에 빠졌고 연기가 너무 좋습니다.. 혹시 이런사람에게도 문이 열려있는지, 동아리는 있는지 궁급합니다! 현재 휴학중이라 직접 가보지 못하고 이렇게 글을 남깁니다!"
6,2017-06-01 14:45:06,20,"어둠의 대나무숲 #231291번째 속삭임

항상 도서관에서 열심히 공부하시던 학우분을 보았는데요! 어느날부터 그분이 안보이시더라구요
쉽지않은시험을 준비하고 계시던데 포기하신건가 싶기도하고 어디 아프신가 싶기도하고
혹시나 이 글을 읽으실 그분께 항상 같은자리에서 공부하던 모습이 너무 멋있었다고 말하고싶네요
조금만 더 힘내시고 멋있는 모습으로 성공하시길 바래요!

그리고 공시,행시, 등 많은 시험을 준비하고있는 많은 학우분들! 곧 아름다운 꽃이 피기를 바랄게요"
7,2017-06-01 14:15:06,0,"어둠의 대나무숲 #231290번째 속삭임

안녕하세요 오늘 3시에서 3시반사이에 309관 기숙사 2층 여자 화장실 세면대에서 은색 판도라 반지 보신 분 있으시면 꼭 댓글 남겨주세요. 씻을 때 잠깐 빼놨는데 ㅠㅠㅠ 금방 사라졌네요 ㅠㅠ 정말 소중한 반지여서 보신 분들 꼭 댓글 부탁드려요 ㅠㅠ 감사합니다"
8,2017-06-01 13:30:06,5,"어둠의 대나무숲 #231289번째 속삭임

안녕하세요. 저는 인문대학 역사학과에 재학 중인 한 학생입니다. 다름이 아니라 이번에 역사학과 주점 홍보에 관련해서 학생회장님 개인의 언행과 관련하여 질문이 있어 제보 남깁니다. 학생회장님께서는 이번 주점 홍보 차원에서 페이스북에 해당 과 페이지를 공유하셨습니다. 그런데 한 가지 의문점은 '학생회장 권한으로 서비스를 주겠다.' 라고 적어놓은 것에 대한 것인데, 애초에 주점은 학생회장 개인이 아닌 학생회의 사업이고 역사학과 학생회에서는 주점 사업을 위해서 주점 주체 하 여러 구성원들이 모여 주점을 준비합니다. 그런데 학생회장 권한으로 서비스라뇨. 남는 것이 있어 주는 것은 모르겠으나, 수많은 학과 구성원이 보는 페이스북에서 학생회비로 이루어지는 주점사업에 공공연하게 '권한'을 운운한 것은 그것의 남용이라고 밖에 보이지 않네요. 학과를 위해 희생적고 대표성있는 자세로 일해야하는 학생회장이라는 직책이 언제부터 권한을 앞세운 과두적인 지위가 되었는지 저는 역사학과 구성원으로써 의문이듭니다. 민주적인 절차를 통해 선출되신 학생회장님께서 이 궁금증에 꼭 답변해주셨으면 합니다."
9,2017-06-01 13:00:06,4,"어둠의 대나무숲 #231288번째 속삭임

ㄱㄱㅇㅈㅎㅂ 16 ㅎㅈㅎ 남자친구 있어요?"
10,2017-06-01 12:30:06,1,"어둠의 대나무숲 #231287번째 속삭임

관리자님 수고 많으십니다. 금융권 취업을 준비하는 예비 금융인들에게 도움이 될만한 금융권 대외활동이 있어 전국 주요대학에 홍보를 부탁드리고 있습니다.
 
4학년 중 금융권으로 취업을 희망하는 학생들에게 크나큰 도움이 되리라 생각합니다. 널리 알려주시기 바랍니다. 항상 건강하시고 좋은 일만 가득하시길 기원합니다. 대단히 감사합니다. 

본문 링크 : https://goo.gl/7u3LmX"
11,2017-06-01 12:00:06,2,"어둠의 대나무숲 #231286번째 속삭임

있지 말을 못한게 있어. 지금 사귀는 애가 없는건 아니야.
늘 내가 대답을 애매모호하게 해서 미안해.
그래도 그전에 술마시면서 모두가 있는 데서 이야기했잖아.
난 늘 누군가를 사겨도 이야기 안한다고..
이유가 있다면, 늘 나의 연애기간이 짧아서 그래.

넌 정말 좋은 애야, 그래서 미안해, 너랑 만나게 되면 내가 너한테 큰 피해를 끼칠것 같다.
계속 나 도와주고 티 많이 내주는 건 좋은데,,
너가 상처 안받았으면 좋겠어.
물론 넌 다음학기에 휴학을 하니까 마주칠 일이 없겠지.
너 복학하면 난 졸업하고 없을 테니깐 말야.

늘 힘내라고 화이팅하라고 응원해주고 내가 어려운 부분 있으면
도와줘서 고마워.
근데 딱 여기까지만 하면 좋을 것 같아.
너한테 흔들린건 맞아.
너도 내 행동들 보면서 그렇게 느꼈겠지.
혹시 얘도 나를 좋아하는건 아닌가하는.
근데, 말야,,,, 계속 생각해봐도 아닌 것 같아.

미안해."
12,2017-06-01 11:15:06,1,"어둠의 대나무숲 #231285번째 속삭임

월요일 경경관에서 경제 수업들으시는분들? 겨수님 국정교과서 집필진이신데 국정교과서 찬성! 하면 A+ 안 주시남 같이 해볼사람 모집

어둠의 대나무숲 #231284번째 속삭임

요즘 국정교과서 쓴 교수 사임하하라는데 이제야 얘기가 나오네 제발 좀 이 교수 사임하자 쫌!"
