content_names,content_dates,content_hits,content_coms
0,2017-06-09 05:30:06,4,"#27752번째사자후
노력하면 좋아하는 마음이 생기나요?
지금까지 좋아한다고 착각한 것 같아요. 정말 그저 착각이었어요. 그 사람이 저를 좋아해 주는 만큼 저는 그 사람을 좋아하지 않아요. 그게 너무 미안해서 잘해주고 싶은데 그 사람을 생각하면 미안한 마음만 들어요. 미안한 마음도 좋아하는 마음에 포함될까요. 혼자 끝을 상상하고 있는 제가 싫어요. 어떻게 하면 상처주지 않고 끝낼 수 있을까. 예전의 관계로 되돌릴 수 있을까. 친구로 돌아갈 수 있을까. 이런 생각들이 저를 힘들게 해요. 차라리 제가 많이 노력해서 그 사람을 좋아하고 싶어요.
노력하면 좋아하는 마음이 생기나요?"
1,2017-06-09 03:30:06,44,"#27748번째사자후
<귀가>"
2,2017-06-09 03:00:06,52,"#27765번째사자후
(19금주의보)안녕하세요~~저는 씨씨를 하고 있는 복학생입니다. 다름 아니라 제가 얼마전에  귀엽고 예쁜 제 여자친구를 만나게 되었으나 고민이 하나 있어요. 그것은 제 여자친구가 공공장소에서 스킨십이 너무 심하다는 겁니다. 저는 좀 수줍은 성격이라 사실 손잡고 걷는 것도 좀 민망하지만 손이나 어깨동무?정도까지는 괜찮은 거 같아요. 하지만 제 여자친구는 브라우나비 알바생 앞에서 저를 꼬옥 안은 적이 있어서 그 때도 좀 민망해했었는데 이정도는 뭐 사실 아무것도 아니에요. 저의 여자친구는 학교 공공장소(엘리베이터) 등에서 저의 가슴을 만진다든지 엉덩이를 자주 만져요. 얼마전에 제 여자친구랑 저의 과 후배랑 같이 엘리베이터에 타게 되었는데 그때 사람들이 좀 있었는데 꼬옥 껴안으면서 막 가슴을 만지고  엉덩이를 만지더라고요 ㅠㅠ 너무 민망했어요. 그래서 하지 말라고 몇번 말하기는 하는데 그 때만 조금 자제하고 시간 좀 지나면 바로 또 스킨쉽을 합니다. ㅠㅠ 게다가 얼마전의 일이였는데 한플 1층에서 저는 다른거 먹고 제 여자친구는 갈비탕을 먹고있었어요. 제 여자친구가 뼈에 붙어있는 갈비를 귀엽게 먹고있길래 빤히 쳐다봤습니다. 그리고 무엇을 그렇게 맛있게 먹냐고 물으니까 갑자기 혀로 뼈를 햝더니 오빠꺼! 이러는거에요 ㅠㅠ 그 때 남이 들었을까봐 너무 무서웠습니다.  공공장소에서의 과도한 스킨쉽을 싫어하는 저, 제가 너무 보수적인가요?"
3,2017-06-08 16:00:05,18,"#27741번째사자후
애인에게, 애인의 인생에서 가장 소중하고 가장 기억에 남는 사람이 되고 싶은 건 일반적인 사람이라면 가질 수 있는 바람인가요? 제가 좀 유아적인 생각을 하는 건가 하는 생각이 드네요"
4,2017-06-08 10:00:05,10,"#27729번째사자후
음.. 대숲. 
좀 19금일 수도 있고? 아니 15금인가.

저는 관계를 가져본 적이 없어요.
뭐 혼후관계주의자인 건 아니고, 그냥 그런 욕구를 느껴본 적도 없고.. 하기 싫어요.
다행히도 지금까지 사겼던 남친들 모두 이해해주었었구요.

근데 키스는 참 좋아하거든요.
연애 안 한지 너무 오래돼서 미치겠네요.
요새는 드라마를 보다가도 키스신 나오면 돌려버려요.
이런게 성욕의 한 방식이겠죠?

진짜 외로운 밤이다..

뭔 말 하려고 제보한 건지 저도 모르겠네요.
혹 이 제보가 올라간다면, 외로움에 사무치다 (티비에서 흘러나오는 키스신에 채널 돌리는 것도 지치는 밤에) 한탄한 거라고 생각해주세요."
5,2017-06-08 07:00:05,60,"#27723번째사자후
인문대 화장실엔 변기마다 적힌 짧은 문구들, 잘 보고있어요. 한 달전쯤 문구를 싹 교체하셨더라고요. 아마 학생회에서 관리하고 계시겠죠?
 작은 즐거움 선물해주셔서 고맙습니다. 여러분들의 작은 노력이 누군가에겐 큰 즐거움이 되고 있다는걸 알려주고 싶었어요."
6,2017-06-08 05:30:05,0,"#27720번째사자후
무슨 일을 하겠다고 해놨는데 정말 집안에 갑작스레
일이 생겨서 못해겠다고 취소를 해버렸어요...
담당자분께 너무 죄송한 마음 뿐입니다...
담당자님이 ""자기 일에는 책임을 져라"" 라고 말하셨는데 정말 죄송한 마음 뿐이었고
앞으로는 이런 일 없도록 하겠다고 다짐했죠
하지만 마음 한 켠에선 집안에 정말 일이 있는데
그 사정을 이해해주지 못하는걸까 하는 생각이 들어
제 자신이 괘씸하네요ㅠㅠㅠ
이런 제가 잘못된 거겠죠?

갑작스런 통보식 말은 앞으로 하지 않을게요
제가 맡은 일엔 책임을 지겠습니다

제 속마음입니다

(이게 올라갈 때 쯤이면 집안은 좀 조용해졌겠네요)"
7,2017-06-08 01:30:05,0,"#27712번째사자후
안녕하세요. 대숲! 제보는 오랜만이네요.(사실 전에 썼을 때 올라가진 않았지만ㅠㅠ)

그냥 말 할 곳이 없어서 글 써요. 좋아하는 사람이 있는데 그 친구에게도 좋아하는 사람이 생겼대요. 처음에 그 말을 그 친구에게 직접 듣고 표정관리가 잘 안됐어요. 장난스럽게 넘어갔어야 했는데, 어떤 말을 해줘야 할지 고민하다 타이밍을 잃어버렸어요. 어색한 분위기가 이상했는지 자연스럽게 대화주제를 바꾸더라구요. 그제서야 겨우 자연스럽게 표정을 풀 수 있었어요.

저는 살면서 짝사랑만 했던 기간이 오년 남짓 되는 거 같아요. 연애를 못해본 건 아니지만, 그냥 멀리서 좋아하는 게 편한가봐요. 가까운 사이가 되고 싶긴 하지만 그냥 재밌는 친구, 좋은 선후배로 남는 게 더 오래 남는 관계일 것 같아서 마음을 함부로 내보이고 그러지 않았어요.

이번에도 마찬가지에요. 그냥 좋은 형으로 남아있는 게 장기적으로 봤을 때 서로 안 좋은 상황 없이 지나갈 수 있는 거잖아요? 그래서 그냥 걔가 여자친구 사귀고 싶다고 할 때도 적당히 맞장구쳐주고, 예쁜 사람 있으면 소개시켜달라고 적당히 연기하는 중이에요. 조금 기분 울적할 때가 있지만 그것도 잠시니까요. 그 녀석 연락오면 웃음부터 나는걸요.

그래서 이 관계를 깨버리고 싶지 않은 것 같아요. 갑자기 동성의 지인이 좋아한다고 고백하면 소름돋을거 같아요. 자기랑 이야기하고 놀고 그랬으면서 자기를 그런 눈으로 보고 있었냐고 따질 것 같아요. 그래서 저는 그냥 이 자리에 머물러있고 싶어요. 서로 어색해지는건 정말 싫어요.

아직 그 생각은 변하지 않았지만 어제 좋아하는 사람이 있다는 이야기를 들었을 때, 응원해주고 싶지는 않았어요. 차라리 그쪽에서 차버렸으면 좋겠다는 나쁜 생각도 했어요. 하지만 다 부질없는 생각들이네요.

학교에서 자꾸 얼굴마주치고 있으니까 그 친구에게서 마음을 떼려고 해도 뗄 수가 없네요. 제 스스로도 모순덩어리인거 알지만 아직은 좋아하는 마음을 버리기가 쉽진 않아요. 정말 어떡해야 할까요.."
8,2017-06-07 14:30:06,15,"#27701번째사자후
담배싫어요
흡연자가 많다고 흡연구역 아무대나 만드는 학교도 싫어요
흡연구역 재지정좀 제발 해주세요"
9,2017-06-07 07:30:07,6,"#27687번째사자후
총학생회에 하고 싶은 말인데요!
오늘 시청에 민원 넣으신 것보고 드는 생각이에요!
제가 고등학생때 학교에 비리문제가 있어서 저희 학생들이 청와대 신문고에 글을 작성했더니 바로 청와대에서 내려와서 감사가 왔던 적이 있어요!
청와대 신문고에 한번 적어보는 건 어떨까 싶어 제보해봅니다!"
