content_names,content_dates,content_hits,content_coms
0,2017-06-08 18:50:26,3,"#5343번째속삭임 #노답

목요일 9시 함윤식 교수님 성균논어 수업에서 흰색에 검은색 체크무늬 들어간 셔츠 걸치고 청바지에 안경쓰신 남자분이랑, 초록색 성균관대 후드집업 입으신 여자분.. 
항상 둘이 같이 앉아서 누가 앞에서 발표를 하든 말든 계속 둘이서 떠드시던데 발표 듣기 싫으시면 그냥 조용히 딴 짓이라도 하세요.. 발표 들으려는 주변 사람들이 힐끔힐끔 쳐다보는데도 계속 떠드시던데 오늘만 그런 것도 아니고 항상 비슷한 자리에 앉아서 떠드시던데 자제좀.. 어차피 다음 주가 시험이라 오늘이 마지막 수업이었지만 다른 수업에서도 그러실까봐, 그리고 다른 사람이 발표할 때 주변에 다 들리게 떠드는 건 예의가 아니라는 걸 모르실까봐 알려드려요. 꼭 이 글 보실 수 있었음 좋겠네요"
1,2017-06-08 18:43:21,2,"#5341번째속삭임 #19금

*
*
*
*
*
*
애무를 할  때 여자가 젖는 것과 오르가즘은 별 연관이 없나요? 요전까지의 연애에서는 섹스를 했을 때 여자친구들이 보통 다들 만족을 했었고 자기들이 하자고 조르기도 했었는데 이번 여자친구는 만족을 못한다고 하네요... 그렇다고해서 애무를 했을 때 안젖냐고 물으면 그건 또 아닌데요... 이전 여자친구들은 손가락으로
삽입해서 애무해주면 많이 좋아했는데 이번 여자친구는 그러지 않아요. 손가락을 넣어도 왔다갔다하는 느낌과 질 안에서 꿈지럭댄다는 뿐 별 느낌이 없대요... 성기 삽입시에도 마찬가지구요. 그러다보니 애무를 보통 클리토리스, 유두위주로 하게 됩니다. 전까지는 별로 섹스에서 문제를 느끼지 못했는데 이번 연애에서는 문제가 생기네요..."
2,2017-06-08 18:42:22,0,"#5340번째속삭임 #19금 #노답

*
*
*
*
*
애미 터진 씨발놈아 잘살고있냐 ㅎㅎ
난 아직도 니가 쌀알만한 니 좆에다가 로션쳐바르고 박아댄걸 잊질못한다 난 그 고통을 잊을수가없다
존나 하나도 모르는새끼가 그게 나한테 얼마나 위험한짓이었는지는 지금은 알까?
내 인생 최고의 오점이 있다면 그건 널 만났던거야 앞으로도 영원히 불행했으면 좋겠다"
3,2017-06-08 18:41:15,15,"#5339번째속삭임 #어대숲허언증

사실..나 600년동안 마늘먹어서 사람 된 곰이야"
4,2017-06-08 18:40:06,5,"#5337번째속삭임 #어대숲허언증

예쁜여자 많은 동아리 어디냐
내가 들어가서 다 꼬셔버릴라니"
5,2017-06-08 00:21:22,23,"#5329번째속삭임 #사는얘기

피리가 자판긴줄아냐? 엘 
씨원들아
웹워크누르면 답나오고 솔루션 누르면 바로줘야함? 피리는 그냥 멘토님의 공지만 전달해주면 되는거야. 더 챙겨주려고 더 주는거야. 고맙게 생각해. 맨날 거저주니까 고마운지도 모르지?
피리폰뺏아서 피리톡 한번 봐라. 얼마나 열심히 엘씨원이 필요한 자료 찾아 구하러 다니는지
어휴 월급받는것도 아닌데 진짜 다른엘씨 투표 열심히하고 호응해주는거보면 정말 부럽다...
율전 피리 웹웤팀 화이팅!! 글고 자료랑 공지 많이 올려주는 다잘알언니, **이, **이, **이, **오빠 진짜 항상 감사합니다!
큐... (나 큐 아니야 ㅎ)"
6,2017-06-07 22:26:16,37,"#5328번째속삭임 #사는얘기

뭐 사람들이랑 같이 있을 땐 재밌고 행복한데 혼자 있을 때도 대부분은 그렇긴 한데 
아주 가끔씩 너무 우울하고 속상한 순간이 온다 쓸쓸하다
그리고 그게 지금인 것 같다"
7,2017-06-07 20:18:18,1,"#5318번째속삭임 #사는얘기

남자인데 너무 내성적입니다 그분이 말좀 걸어주셨으면 좋겠어요
크ㅡ윽 한심"
8,2017-06-07 20:17:58,5,"#5317번째속삭임

이렇게 생긴 곰돌이푸우 필통인데요!! 중도 2층이나 다른 강의실에서 보신 분 있으신가요 ㅠㅠㅠ"
9,2017-06-07 20:15:00,10,"#어대숲흥신소 (38개)

1.
김동건 나는 왜 밥 안 사주는데!!!

2.
금요일 아침 김유성교수님 코딩 수업듣는 유지후씨 남자친구 있나요?
없으시면 종강할때 번호딸거에요

3.
월요일에 키작고 동그란안경에 흰반팔셔츠입었던 남학생 반도체관쪽에서 자주보는데 너무귀여워요ㅠㅠ이름알수있을까요

4.
ㅅㅍㅌㅇㅇㅎㄱ 16 정지우?님 상큼미 터지는 매력이 있어요ㅎㅎ 여자친구 있으신가요?  웃을 때 눈이 너무 귀여워요.ㅎㅎ여자친구 없으면 연락하고싶어요~~

5.
정수영 교수님 스토 들으시는분 중에 ㄱㄷㅎ 너무 귀엽던데 페메해도 되나요???

6.
언어와 현대사회 듣는 경영이었나...16학번 최ㅈㅇ 여자친구 있나요? 없으면 바로 번호 물어보고 싶어요ㅠㅠ

7.
그래서 교육학과 어승호 이상형은요?  제가 알아야 비슷하게 변하기라두 하죠..설현, 아이유 이런거 말구요!

8.
식생여신 누나 예뻐요

9.
17 유동 이성현 양혜지 님이랑 닮았다구요

10.
전전 13조 ㅇㅈㅎ 카톡프사 내려라

11.
동연회 회장님 남친 없으시다면,,,,,저는 어떠세요

12.
중앙사진동아리에 훈잘님 왜 안나오세영ㅠㅠ

13.
영문 17 ㄱㅅㅇ 혹시 남자친구있나요??  

14.
ㅇㅈㅇ 이 너무 보고싶어요..ㅜㅜㅜㅜ

15.
경영 16 박소연 남자친구나 썸타는 사람 있는지 알려주세요 맘에 들어요

16.
글로벌경영17학번 ㅅㅎㅅ군 대학가더니 귀여운척 너무 심하네요. 하나도 안귀여우니까 귀여운척 그만했으면 좋겠네요.

17.
화학? 화공? 정확히는 잘 모르겠는데... 김용현 학우분.. 너무 제 스타일이세요..? ㅠㅠ 디도에서 몇번 쪽지를 남길까 고민했는데.. 혹시 여자친구 있으실까봐 용기가 안났어요 ㅠㅠ 혹시 여자친구가 없으시다면... 다음번엔 제가 용기내볼까해요 ㅎㅎ

18.
경영 15??16?? 이해준 오빠 남자친구 있나요??

19.
박한별 선배 예쁘신데...ㅠㅠ 혹시 남친 있으신가요..?

20.
성대 육성재라 불리는 17학번 ㅈㅎㅁ씨 정말 잘생겼어요! 트와이스 다현 팬이시라면서요... 저는 다현과 너무 동떨어지게 생겨서 다가갈 수가 없네요ㅠㅠ

21.
화요일 새벽 두시쯤 철문 CU앞에 앉아있던 여자 태그해주세요..갈색머리에 파마?였는데 옆에 사람들이 너무 많아서 번호 못물어봤어요...

22.
이정은? 과가 어디였지 교과였나 암튼 예쁘더라ㅎ

23.
가족과 생활환경 수업에서 첫사랑에 대해 발표하신 13?14?학번 무용학과 민경분 첫사랑 갱신하고 싶어하시던데 제가 새로운 첫사랑이 되어도 될까요

24.
S14 피리 ㅈㄷㅎ 여자 친구 있나요?ㅠㅠㅠㅠ너무 귀엽고 잘생기고 다해요

25.
컴교 윤혜정씨 귀여워..?

26.
수요일 오전 10시쯤에 셔틀버스 타신 분 중에 남색 조끼?에 검정 바지 입고 계시던 분 찾아요! 어르신께 자리 양보해드리려고 일어섰던 분이에요! 

27.
조하람 사학과 학우님 예쁘신데... 남친 있으신가요?

28.
중도에서 스트라이프티입으시고 검정반바지, 흰색?회색 백팩매고 오신 분 러시아어공부하시던데 누군지아시나요 ㅎㅎ귀여워요! 

29.
예술로보는동아시아 수업 듣는 여성 분 ㅜㅜ 오늘 줄무늬 남색 원피스 입고 앞에서 질문 하신분 찾습니다 질문하신다고 물어보지를 못했어요 댓글만 좀 달아주세요

30.
비영 다인리듬 클릭핏 ceo님? 멋져요!

31.
월수 공학수학1 권영돈교수님 수업 듣는 윤두준 닮으신분!! 혹시 여자친구 있으신가요?? ㅎㅎ 친하게 지내고 싶어요 ㅎㅎ

32.
한문교육과 17 ㅎㅊㅈ님 귀여워요ㅋㅋㅋ

33.
오늘 학술적 글쓰기 발표하신 ㄴㅎㄱ학우님 세상 아름다우신데 말씀도 또이또이 너무 잘하시더군요.. 평소에도 예쁘다 생각해왔는데 정말 오늘 제대로 반했습니다 비록 종강이라 이제 못보지만.. 너무 예쁘셨다고 전하고 싶네요

34.
식생 ㅇㄷㅎ 오빠 얼른 복학해서 나랑 놀아줬으면 좋겠어요!! 너무 재밌고 좋은데 나만 알고싶다..

35.
경제법 아름다우신분 정말 아시는분 없나요!!!! 옆에 어떤분 같이 앉으시던데... 머리띠하시고 팔찌도 하신거같던데 잘보진못했지만 옆모습 정유미닮우셨습니다!!  한번만 더 올려봅니다 페북안하시나.. ㅎㅎ

36.
다인리듬 비즈니스 영어 6월 7일 수업에서 인도 진출하려는 레스토랑 발표한 팀 중에 이름 잘 기억안나는데 이상효(?)씨 여친 있으신가요? 네번짼가 다섯번째로 발표하신 분이었어요!

37.
수요일 3시에 화학실험 들으시는 이윤희(?)씨 이쁘신데 남자친구 있나요..????

38.
ㅅㅍㅌㅇㅇㅎㄱ 17 ㅂㄱㅈ학생 아이폰7플러스 월34000원내고 데이터, 통화, 문자 모두 무제한이래요 기기값도 안냇다고 전해주세요"
