content_names,content_dates,content_hits,content_coms
0,2017-06-08 22:15:06,2754,밤새면 F는 아닐거야.
1,2017-06-07 21:05:05,393,"<섹스에 관하여>
성욕이 무지무지 왕성한 남자임을 먼저 밝힙니다. ㅈㅇ도 하루에 한두번(시험기간인데도...)씩 할 정도에요;;

제목 그대로입니다. 하고 싶어요. 그렇다고 아무나와 하고 싶다는 건 아니에요. 사랑하는 여자친구가 있고, 그 아이와 하고 싶어요. 그런데 싫다고 하네요.

섹스에 기인하는 다양한 염증(?)이나 질병, 그리고 임신의 두려움은 여자에게 더 무거울 건 알아요. 그래서 콘돔도, 청결도 신경쓸 거지만 그래도 불안...하겠죠...

섹스는 상호간 합의하에 하는 거고, 그렇기 때문에 아무리 하고 싶어도 허락없이는 하면 안 된다는 것도 알아요. 그치만 힘드네요. 가끔 여자친구에게 하면 안되냐구 물어보지만, 단호하게 그런 건 있을 수 없다는 답이 올 때마다 만감이 교차합니다. 무엇보다 너무 단호해서 나쁜 사람이 된 것 같은 죄책감이 너무 힘들어요.

섹스 때문에 헤어지는 건 제가 생각해도 좀 웃기고, 헤어지진 않을 것 같아요. 그래도 이게 오래 지속되면 쭉 오래오래 만나진 못할 거란 걱정도 있긴 합니다. 섹스가 연애에 필요조건은 아니지만 사람에 따라선 꽤 큰 비중을 차지하는 건 맞잖아요.

요약하면, 저는 한창 발정난 20대 초반의 수컷이고, 정말 사랑하는 여자친구가 있지만 허락을 받지 못하고 있어요.

여자친구를 설득하고, 안 되면 참아 보고, 그도 안 되면 헤어져야 될 거란 정석적인 해결책은 저도 알고 있어요. 다만 하소연해보고 싶어서 대숲에 글을 띄웠습니다. 흑흑 ㅠㅠ

p.s 본문이 주제가 주제이니만큼 너무 ㅅㅅ만 도배되어있는데 여친님이랑 저는 평범한 커플이에요... 그러려고 만나는 거 아닙니다유ㅠㅠㅠ"
2,2017-06-07 11:50:05,184,"아니 진짜 카페가 무슨 모텔이냐고요
커플이 카페와서 놀고 먹고 하는 거 누가 이해 못해요 손을 잡든 뭘하든 괜찮은데 너무 지나친 스킨십은 삼가야 하는 거 아닌가요 거의 키스할 거 같은 자세로 몇시간을 있는데 고목나무에 매미 보는 줄 ^^! 룸카페나 칸막이 쳐져있는 곳이면 몰라도 너무 개방적인 곳에서 그러는 건 좀 아니지 않나요??!!! 그리고 카페에 외부 음식 가져와서 냄새 풀풀 풍기면서 먹는거도 아니지 않나요!!!!
내가 애인 없어서 그런게 아니고.. 응.. 그건 맞는데 그래도 너무 시강이 쩔고 불편하고 눈을 어디에 둬야할 지 모르겠고... 과자 냄새는 좋기만 하고.. ㅠ"
3,2017-06-06 21:30:06,590,"지금의 나는 예쁘지 않으면, 날씬하지 않으면 스스로를 사랑할 수 없다. 남에게 비난과 조롱과 질책을 들으면 스스로를 사랑할 수 없다. 왜냐하면 내가 나를 사랑하지 않기 때문이다. 내가 나를 사랑하지 않기 때문에 나는 더욱 타인에게 사랑받기 위해 발버둥 쳐야 한다. 자신의 주관적 잣대를 들이대 누군가를 평가한다는 것은 오만이자 범례이다. 나는 평가받고 감상할 수 있는 대상이 아니다. 그렇기 때문에 이런 것들에 휘둘리는 것은 상당히 어리석은 짓이다. 하지만 이런 걸 머리로 아는 것과 현실의 나를 구성하는 것은 별개이다. 이미 내가 나를 사랑하지 않기 때문에, 내가 소중히 여기는 나만의 가치가 존재하지 않기 때문에 나는 외부의 수많은 파장을 끊임없이 빨아들여 나라는 색으로 만든다. 그 색은 아무런 색채도 띄지 않는 무채색이다. 날씬하지 않아도, 예쁘지 않아도 나를 사랑하고 싶다."
4,2017-06-06 19:00:06,750,"너랑 나.

누구보다도 잘 맞지만, 참 많이 다르기도 한 우리.
우리가 잘 맞기만 했다면, 지금의 우리가 될 수 없었을 거라고 생각해. 가끔 생기는 우리의 다툼에 대한 변명처럼 보일까 두렵지만, 그럼에도 내 생각은 바뀌지 않아.

너에게 처음 이끌리던 때, 너는 마치 한송이 장미 같았어. 예뻤지만, 작지만 날 선 가시들이 남 힘들게 했어. 그 가시들이 싫었고, 없애고 싶었어. 내가 가까이 할 수 있게, 내가 만질 수 있게, 꽃을 쉽게 꺾어서 가질 수 있게끔. 날 선 가시들을 세우고 있는 네가 미웠고, 그것들과 싸우느라 지쳐서 포기해 버릴 뻔 한 적도 있어.

그토록 날 지치게 했던 네가, 이제는 고맙다. 그렇지 않았다면 난 널 쉽게 꺾어버리고 너를 가졌다고 생각했을 거야. 그 덕분에 난 너에게서 나무를 볼 수 있었어.

가시 같아 보이는 너의 모습들과 싸우느라 내가 놓친 것이 있더라. 너는 내가 꺾어서 주머니에 간직할 소유물이 아니라는 것. 알고 보니 너는 나무였다. 묘목을 심고, 물을 주고, 솎아주고, 비료를 주고. 온 정성을 쏟아야만 비로소 잎이 자라고, 꽃을 피우고 열매를 맺는 나무였던 거야. 

내 진심을 바쳤어. 누군갈 사랑한다는 게 뭔지 다시 생각해 보게 되었어. 널 나에게 맞추려고 노력하던 나, 너의 일부분만을 좋아하던 나를 버리고 너 자체를 사랑하게 되었나 봐. 꺾어서 너를 내 것으로 만들려고 했을 때는 보이지 않던 것들이 보이기 시작했다. 나무로 자라난 네가 피워낸 꽃은 여전히 아름다웠다. 여러 송이로 피어난 꽃은 하나일 때는 느끼지 못한 수많은 아름다움을 간직하고 있었어. 

날이 갈수록 행복하고, 꿈만 같아. 여전히 다투곤 하는 우리지만 지금의 다툼은 예전의 다툼과는 다르다. 가시를 세우는 너와 가시를 뽑으려는 나의 다툼이 아닌, 우리의 크고 작은 아픔과 노력이 열매를 맺어가는 과정이라 생각해. 바람에 열매가 채 익기 전에 떨어지기도 하고, 폭우에 열매가 상하기도 해. 하지만 우리는 열매를 맺어 가고 있고, 성숙하게 익은 우리의 열매는 세상에서 가장 달콤할거야. 

나도 너에게 나무가 되길. 그냥 나무가 아니라 한 아름드리 나무가 되길. 듬직한 밑동에 기대어 쉴 수 있고, 내 온몸으로 만든 넓은 그늘을 네게 주는 그런 나무가 되어 그 자체로 아름다운 네 곁에서 뿌리깊게, 잔잔하게 영원하길 기도해.

어제보다 더 깊어지고 자라난 내 진심을, 매일같이 너에게 줄게. 지금보다 더 그럴 수 있다면 말야. 어제보다 오늘 더 사랑해. 늦은 밤 꼭 너만큼 예쁜 꿈 꾸길. 잘자."
5,2017-06-06 10:00:06,1273,"동생 생일이라 외식을 하고 돌아가는 길이었다.

동생이 차 안에 놓고 내린 핸드폰과 내가 선물로 준 이어폰이 보이지 않는다고 했다.

엄마는 낮은 목소리로 아휴 정말..을 읊조렸고 그 순간 심장이 얼어붙는 듯했다.

집을 떠나 산지 4년째지만 여전히 나를 무력하게 만드는 것은 생생한 공포의 기억이다.

우리는 열심히 차 안을 뒤졌지만 핸드폰과 이어폰은 보이지 않았고 엄마는 몇 차례 화를 냈다.

동생을 내려주고 차 안에서 나는 그래도 스마트폰이 아닌게 어디에요, 이어폰 비싼걸로 안사길 잘했네, 라고 천연덕스럽게 연기하며 엄마의 기분을 풀어주려고 했다.

그리고 생각했다. 왜 우리는 이토록 두려워해야 하는가, 라고.

엄마와 아빠가 이혼하기 전부터 우리 집의 분위기는 얼어붙어 있었지만 꼭 우리 집의 이야기만은 아니다.

학창시절을 돌아보면 통금에서 몇분 늦었다고, 성적이 떨어졌다고, 물건을 잃어버렸다고 하얗게 질린 얼굴을 한 아이들은 언제나 있었다.

엄마는 물건을 바로 사주면 소중한줄 모르기 때문에 당분간 핸드폰 없이 지내도록 할 것이라고 말했다.

하지만 자동차에 두고 내린, 스마트폰도 아닌 투지폰과 이어폰이 감쪽같이 사라졌다면 그것은 누군가의 잘못이라기보다는 그저 어이없는 사건일 것이다.

어쩌면 엄마가 문을 잠그는 일을 잊었을지도 모른다. 그래도 엄마는 절대로 미안하다고 하지 않을 것이다.

동생은 하루하루 눈에 띄게 시들어가고 나는 괴물이 되었다. 동생도 괴물로 자랄 것이다. 어쩌면 이미

행복하기만 해도 충분한, 다시는 돌아오지 않는 어린 시절을 왜 이렇게 보내야만 할까.

어른이 뭐길래, 왜 아이들은 그들을 두려워해야 하는 것일까.

이긴 사람은 없고 진 사람만 있다."
6,2017-06-06 09:30:06,15,"(1) 안녕하세요 대숲
17학번인데요.
과방에서 고학번 선배분과 동기들이 섞여 있는데, 간식같은 걸 먹고 싶으면 어떻게 하나요.
동기들이랑은 나눠먹는 게 일상이니까 줘야할 것 같은데
이어폰 끼고 공부하고 계시는 선배님께는 어떻게 해야하는지..?
걍 먹지 말까요?

(2) 관정도서관에서 서울대 정문까지 가기위한 가장 빠른 루트는 무엇인가요?

(3) 군인입니다. 7월 중순부터 10일 넘게 휴가를 나오는데 그 때 할 수 있는 단체활동같은거 뭐가 있는알려주실 수 있나요!!! 농활이나 국토대장정 같은거요. 찾아본건 죄다 8월이네요;;;;

(4) 초안지의 어원이 뭔가요!!!! 궁금해 죽겠어요...

(5) 대-하! 싱그럽고 파릇파릇함이 봄꽃에 비할 바 없다는 1학년 새내기입니다! 다름이 아니라 제가 노래 부르는 것(가요 X)에 관심이 많아 동아리에 들고 싶은데요, 혹시 학교 동아리 중 중창 동아리가 있나요? 제가 이미 합창은 하나를 하고 있긴 하지만 그보다 소수로 모여 중창을 통해 하모니를 만들어내는 것 또한 해보고 싶어 이렇게 제보드립니다. 그리고 만약 그런 동아리가 있다면 늦게라도 동아리 가입이 있는지 알려주시면 감사하겠습니다~

(6) 2학년인데 방학때 할거 추천좀 해주세요ㅠㅠ 8월말에 유럽가기 전에 할게 없어졌습니다ㅠㅠ

(7) 대-하!
전역이 얼마 안남았습니다.
전역하자마자 바로 국민신문고와 군인권센터에 찌르려고 하는데
이것 보다 더 확실하게 조질 수 있는 방법이 있다면 알려주실 수 있나요?
부대 폭파가 목적입니다. 21개월동안 너무 당하고 살아서 확실하게 갚아주려 합니다.

(8) 학교 내에 엘가 이용해보신 분들! 엘가 꽃 너무 비싸지 않나요..? ㅠㅠ 당장 설입이나 낙성대 꽃집만 가도 5000원이면 아담한 꽃다발 정도는 살 수 있는데 엘가에서는 풍성한 꽃 한 송이가 5000원이나 하더라구요.. 친구들 축하해주러 꽃 살일 되게 많아서 항상 엘가 이용해오고 있었는데, 생각하면 생각할수록 독점중이라 비싸게 파는거라고밖에 안보이네요"
7,2017-06-04 21:27:06,838,군대 다녀왔더니 심각한 노잼이 되어버렸어요. 전 이제 어떡하죠 ? 노잼아재복학생으로 남은 대학생활을 마쳐야하나요? ㅠㅠㅠ
8,2017-06-04 18:27:06,116,"마음에 담겨있던 여러 가지 고민들은 잠시 접어두자. 넓고 파편적인 인간관계에 대한 회의감과 풀리지 않는 이성관계에 대한 고민은 창문 너머 눈부신 태양이 잠시 가려준다. 고마운 태양. 다리 위에서 바라보는 한강은 푸르기보다는 출렁이는 회색의 콘크리트 같다. 하지만 이 삭막한 대도시를 떠나는 입장에서 굳이 한강을 욕할 필요는 없겠지.

빨간색 사이 검은색이 끼어 있는 이번 연휴를 보내려 고향을 내려가는 중이다. 월요일 수업은 큰 고려사항이 되지 않았다. 서울서 혼자 생활하며 겪는 여러 어려움들에 익숙해지는 중이지만 가끔은 집의 따뜻함이 그리웠다. 하루를, 또 하루를 보내면서 점점 더 나만 남는 것 같은 외로운 기분을 떨쳐내기에는 고향에 내려가는 것이 최고지. 서울에서의 고민은 서울에 놓고 고향서 쉴 생각에 살짝 신나는 것 같기도 하다.

4, 5월에는 많이 힘들었다. 대숲에 우울한 글들을 정말 많이 적었었지. 올라가는 좋아요 개수와 댓글들 속 위로의 말들이 나름의 큰 힘이 되어주었던 것 같기도 하다. 여러 가지로 몸도, 마음도 힘든 시기였다고 생각한다. 그리고 나만 힘들었던 시기도 아니었을 것이라 생각한다. 대학이라는 새로운 사회에 들어와 적응하는 것이 모두에게 어려웠겠지. 이 곳에 적응했더라도 그 속에서 하루하루를 보내는 것이 쉽지 않았겠지. 다들 내색하지 않더라도 자신만의 고민들로 힘든 시간들이지 않았을까 감히 추측해본다. 

물을 줄수록 커가는 나무처럼 우리의 마음도 점차 자라나고 있는 것일까? 아니면 비정형적인 다각형이었던 우리들의 모서리들이 깎여나가고 있는 것일까? 이 둘보다는 모난 부분들을 새로운 조각들로 채워나가며 둥그러지는 것이 조금 더 적절한 비유인 듯하다. 우리는 모두 어떤 면에서든 조금씩, 조금씩 성장해나가고 있겠지. 원이 되고자 하는 찌그러진 우리들은 한 부분, 한 부분 덧붙여나가지만 원이라는 이상에 다다르는 것은 여간 쉽지가 않다. 그렇지만 하나 하나 덧붙어가는 조각들은 우리의 성장의 증표이고, 고달픈 삶에 지쳐 있다가도 잠시 돌아보면 조금 더 성숙한 나를 발견하게 되겠지. 원은 되지 못했더라도 어제보다는 발전했다는, 고민들의 답에 조금이라도 더 가까워지고 있다는 그 사실 자체만으로 완벽하지 못한 우리는 너무나도 아름다운 사람들이다. 정말로. 너무나도.

끝없는 우울과 외로움의 늪에 지금은 발목 정도만 빠져있는 내게도, 허리, 가슴, 혹은 머리 끝까지 빠져있는 사람들에게도 해주고 싶은 말이다. 우리는 조금씩, 천천히 나아지고 있다. 내가 모르더라도, 힘든 순간 속에서도 우리는 거북이처럼, 못해도 지렁이처럼 나아가고 있다. 시간이 흐르고 어느 날 뒤를 돌아보면, 우리가 걸어온 거리는 다시 지나갈 수 없어 보일만큼 아득해 보이겠지. 그리고 그 길을 걸어오던 ‘나’를 추억하겠지. 그래서 우리 모두가 조금 더 힘을 냈으면 좋겠다. 창문 밖을 바라보며 늘 허공에서 떨어지고 있는 내 자신을 상상했던 나였고, 길을 걷다가도 그냥 눈물이 흐를 정도로 우울했던 나였지만. 조금씩 더 나아지려고 노력하며 그 부정적인 감정들을 벗어내고자 노력하는 중이다. 힘을 내자. 나에게 해 줄 말이고, 또 우리 모두에게 해주고 싶은 말이다. 정말로, 힘을 내고 긍정적으로 생각해보자. 파이팅!"
9,2017-06-04 10:27:06,171,"병원에 다녀왔다.
너와 같이가게 될 줄 알았지만, 결국 혼자 갔다.
염증은 다 나았다고 했다. 그냥 통증이 남았다고,
앞으로도 가끔 아프거나
그냥 아플 때가 있을 거라고. 욱씬거릴거라고 했다.

너에게 칭찬받고 싶었다.
너에 대한 사랑 하나로 모든걸 괜찮다고, 이겨낼 수 있다고 하던 나에게
고맙다고, 얼마나 힘들었냐고, 힘들었을텐데 너무 고맙다고 말해주길 바랐었다.
행복할 때의 내 노력만큼, 힘들 때의 내 노력을 나 또한 인정받고 싶었다. 너가 인정받길 원했듯이.

너에게 들었던 건 미안하다는 말, 넌 잘못 없고 더 좋은 사람 만날 수 있을 거라는 말.
모든걸 너때문에 참고 이겨냈던 나는 뭐가 돼버린  걸까. 그냥 이유없이 버티던 사람이 돼버린 걸까.
넌 내가 참았던 만큼은 참을 수 없었던 걸까.

아프지 말라던 너의 말에 나는 대답할 수가 없었다.
앞으로도 가끔씩 욱씬거릴 통증, 그때마다 니가 떠오를텐데, 어떻게 아프지 않겠어.

너한테 위로받고 싶다. 널 질책하듯이 말했던 게 너무 미안하다. 사실은 모두 너무 힘들었다고, 근데 나 그때 힘들었는데 참고 버텼으니 위로해달라고, 그만큼 너 사랑한다고. 하지만 내 말이 차가웠다.

어쩔 수 없는 일이 되어버린 걸까. 앞으로도 난 아플텐데, 누가 위로해줄 수 있을까. 너일 순 없을까."
