content_names,content_dates,content_hits,content_coms
0,2017-06-05 20:00:00,27,"전남친은 바람은 안폈지만 환승이별에 여자 없이 못사는 스타일인 것 같아요 헤어지고 나서 알았어요 그 사람은 정말 아니란걸 뼈저리게 깨달았는데도  또 돌아가는거에 대해서 어떻게 생각하시나요ㅠ
나중에 상처받아도 되니까 지금 행복할 수 있다면 다시 시작해도 되나요 다시 시작하고 힘들면 바로 끝내면 되잖아요 
예전에 사귈땐 우린 특별하다고 영원할거라고 생각했는데 언젠가는 또 끝날 관계인걸 생각하면서 다시 한번만 사귀면 안돼요? 그럼 상처 덜 받을 수 있을 것 같아요
절대절대 안돼요? 말리고 싶으신가요 다들ㅜㅜㅜ
 그냥 고민하기 싫고 지금 당장 행복하려면 사귀는게 맞아요 제 상황이
한 번 쓰레기통에 버린 쓰레기 다시 거둬오면 안될까요 저는 어떻게해야 할까요?

#1348번째쪽지 에디터 #데이빗
____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
_ 전대숲에 올라오지 않은 더많은 대숲이야기
.
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
1,2017-06-05 19:00:00,3,"'배고프다고기먹고싶다' 님의 제보

대숲 하이!
제가 좋아하는 여자애가 있는데 어떤 사람이랑 막 얘기하고 막 서로 태그도 거는데 이거 둘이 사귀고 있는 건가요..? 진짜 저는 좋아하는 사람마다 그 사람이 다른 사람이랑 좋아하는 것 같으면 '아.... 내가 피해줘야지...그게 내가 그 친구를 위한 길이지..'라고 생각하며 항상 길을 비켜줬어요... 비록 제가 불행해질지라도요. 계속 그런 일이 반복되서 제가 모쏠이 된 걸지도 몰라요.... 그런데 대숲 전 진짜 이번에 좋아하게 된 친구만큼은 놓치고 싶지가 않네요... 진짜 그 친구만큼은.... 다른 남자의 여자가 되는 걸 못 볼 것 같아요...
이번에도 길을 비켜주는 게 제가 할 수 있는 최선인가요? 조언 좀 해주세여 여러분들...

#1344번째쪽지 에디터 #데이빗
____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
_ 전대숲에 올라오지 않은 더많은 대숲이야기
.
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
2,2017-06-05 16:00:00,20,"'아가' 님의 제보

오빠 안녕! 내가 이걸 쓴 걸 오빠는 영영 모를 거야. 왜냐하면 오빠는 SNS 일절 안 하니까, 이걸 볼 일도 없고 들을 일도 없을 거야. 만약 듣더라도 남의 이야기처럼 스치듯 흘리겠지.  내가 오빠를 좋아한지도 반 년이 가 되어 가. 오빠는 아는지 모르는지 모르겠다. 내가 한창 술버릇 고약할 때 오빠한테 많이 치근덕거렸는데 오빠는 단지 친여동생 애교처럼 느꼈을 수도 있어. 근데 우리집 장남은 내가 그러면 멍멍 때릴텐데 오빠는 다 받아주잖아. 안아달라고 하면 안아주고 넘어지면 엎어주고. 오빠는 좀 너무 다정한 게 병이야! 근데 그래서 오빠가 좋았어..  오빠를 좋아하면서 이제까지 해온 연애가 연애답지 않았다는 생각을 했어. 그동안 만나온 친구들은 대부분 나를 현실적이고 비판적으로 만들었거든ㅋㅋㅋㅋ 그냥 내가 또래 친구들에 비해 많이 현실적이어서 그랬던 건지도 몰라. 남자친구가 삐치면(내 잘못..시험공부한다고 놀러가자는 거 싫다고 했음) 달래주고 맛있는 걸 사주고  약간 남동생을 돌보는 기분이었던 것 같아. 물론 그 친구들은 참 좋은 친구들이야. 근데 나는 내가 챙겨야 할 사람보다 날 챙겨주는 사람이 좋았나봐. 어른인 척, 괜찮은 척, 그건 오빠가 다 알아채서 챙겨주잖아. 피가 섞인 형제자매도 모르는 내 표정 오빠가 다 알잖아. 삐졌냐고 속상하냐고 머리 쓰다듬어줄 때마다 정말 좋았어. 넌지시 미안하다고 먼저 사과해줄 때도 오빠가 너무 멋있었어.  진짜 오빠 내 이상형이랑 정반대인데 오빠가 다정하게 불러주면 그 날 기분이 너무 좋아.. 이제 내 이상형이 오빠로 맞춰졌다.. 진짜 웃기지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 딱 반 년만에 일어난 일이야! 키가 조금 작아도 괜찮고, 맞춤법 틀려도 괜찮아. 목소리가 높아도 좋을 수 있다는 것도 알았고. 방정맞은 웃음소리도 듣기 좋아! 또 피부가 까만데 좀 잘생긴 것 같더라. 담배는 좋아해도 내 앞에서 안 피면 되지. 술은 나도 좋아하니까 괜찮아. ㅋㅋㅋㅋㅋㅋ..이렇게 늘어놔도 오빤 모르겠지.. 그게 제일 억울해.  오빠한테 나는 진짜 친한 여동생이니까. 내가 오빠가 날 특별하게 생각하나 착각했던 것들도 오빠가 여동생 생긴 기분에 챙겨줬던 거니까. 말했다시피 오빤 다정한 게 병이잖아ㅋㅋㅋ 나한테 해줬던 일들은 오빠한텐 당연한 거여서 너무 억울해. 그리고 이렇게 오빠탓만 해서 미안해. 오빠가 너무 좋아서 그래ㅠㅠ  여튼 오빠 좋아하는 사람 생겼잖아. 나 애들이 하는 말 잘 기억하는데 오빠한테는 유독 심각하거든ㅋㅋㅋㅋ 그래서 오빠가 툭 던진 단서들을 통해서 이미 누군지 얼추 알겠더라. 같은 전공에 종사하는 그 누나 나보다 더 어른스럽고 성숙하겠지? 그걸 들으니까 실감이 났어. 오빠도 자기가 챙겨야 하는 나보다는 자기가 챙김을 당할 수 있는 사람이 더 좋구나. 그래서 내가 여태껏 했던 모든 행동들이 다 후회로 다가왔어. 근데 되돌릴 수 없잖아..  오빠는 모르겠지만 진짜 많이 좋아해!!! 오빠는 진짜 잘생겼고 다정해! 머리하고 나서 더 잘생겨진 거 알아?ㅋㅋ 막 이상하다고 놀렸는데 사진 찍어서 저장해놓고 싶었다!!!! 그 언니가 나보다 훨씬 예쁘고 성격 좋고 돈도 잘 벌고 똑똑하고 그랬으면 좋겠어. 제발.. 그리고 잘됐으면 좋겠다! 잘 되면 축하파티 한 번 해주고 다시는 오빠 안 볼 거야. 오빠 담주쯤이면 만날텐데 얼굴 제대로 볼 수 있을까.. 오빠 건강하고 행복해? 이제 진짜 안 좋아할거야!!!-

#1341번째쪽지 에디터 #데이빗
____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
_ 전대숲에 올라오지 않은 더많은 대숲이야기
.
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
3,2017-06-05 15:30:00,9,"'고양이' 님의 제보

주변 친구들이나 사람들을 보면
길거리 동물을 만지고 손을 안 씻더군요?
저는 손 씻을곳이 없으면 안 만지거든요.
다른 사람들은 동물들 만지고
그 손으로 음식집던가 친구 만지거나
저는 정말 신경쓰이는데..
얼마전에는 친구집에 놀러갔는데
친구가 고양이랑 강아지를 만지고
그 손으로 키보드랑 음식이랑 그냥 
접촉하는게 신기했어요.
제가 예민한건가요??

#1346번째쪽지 에디터 #데이빗
____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
_ 전대숲에 올라오지 않은 더많은 대숲이야기
.
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
4,2017-06-05 13:23:45,1958,"이제 점심시간마다 저를 기다리실것같은데요
지긋지긋한 월요일점심도 아재개그로?

by 에디터 #깡다"
5,2017-06-04 08:30:59,34,"#고려대학교 '짝사랑남' 님

술김에 말 할 곳이 없어서 여기에다가 적어본다.
그래 나 너 좋아해.
너무 좋아서 미쳐버리겠어.
너가 아무렇지도 않게 하는 말들과 스킨쉽들 너에겐 그저 친구라는 이름에서 안에서 겠지.
근데 나는 다르다? 
너를 처음 본 날도,너한테 장난을 칠 때도, 너한테 말을 걸 때도, 너와 수업을 들으러 갈 때도, 너랑 밥먹을때도, 생각없이 너와 나란히 걸을 때 너와 손이 맞닿는 순간순간 마저도 나는 너무 설레임에 벅찼었어.
근데 너에겐 나는 친구였고, 내 친구는 너의 남자친구가 되었지.
너와 내친구가 사귄다는 말을 들은 그 날 
마음이 찢기듯이 아프더라. 애써 축하한다는 말을 전하는 내가 너무 싫더라. 
피하고 싶었어. 
너희 둘의 다정한 모습에 질투하고 혹여 훼방을 놀까 염려스러웠거든.
그리고 내 욕심에 친한 친구 2명을 잃을까봐 무서웠었거든.
그래서 애써 티내지도 않고, 조용히 너희 기억에 없는둥 있는둥 한 사람으로 남고 싶었었지.
근데 너희들은 너무 착하더라. 변해버린 내 모습에 무슨 일 있냐며 위로해주고 걱정해주었지. 
그에 비해 나는 너무 쓰레기였고 
나는 절대 너희 사이에 누가 되지 않겠다 다짐했어. 그리고 너를 포기하려 했었지.
하지만 진짜 너무 힘들어.
매일매일 너의 웃는 모습이, 내 폰안에 가득찬 너와 같이 찍은 사진이, 너랑 했던 모든 기억들이 너무 나를 괴롭힌다. 
미안해, 널 포기 못해서. 
너와 내 친구의 연애를 축복해주지 못해서 미안해.

좋아해. 정말로 너가 너무 좋아.
그래서 미안해. .좋아해서..

#1318번째_쪽지   에디터 #아로미"
6,2017-06-03 21:26:38,60,"대나무숲 Top 10
전대숲이 서고연 다음이라니 !!! 3개월만에!!"
7,2017-06-03 19:00:00,2,"#충북보건과학대학교 '모든걸잊고싶다'님의 제보

미치겠어요...전남친이랑 헤어지고서는 생각이 나더라도 그냥 그랬구나라고 생각이 드는데 요새는 생각도 안나요..
전남친이 헤어지자는 말에도 눈물 한방울 흘리지않고 괜찮았는데
그치만 전전남친이랑 있었던 일이 기억나면 눈물나고 마음이 너무 아파요...그 사람 생각하면서 들었던 노래가 가게같은곳에서 나오던가 그 사람이 좋아했던 여배우가 드라마나오던가 그럴때마다 막 눈물이 주체할수없을정도로 나오는거같아요. 그냥 그사람 대한거에는 눈물이 나요
전전남친을 잊을수만 있다면 뭐든할거같아요. 
너무 힘드네요...
이렇다보니 시간이 약도 아니고 다른사람 만나는것도 약이 아닌거라는 생각이 들어요. 무뎌지기는 커녕 더 또렸해지기만해요.
전남친이랑 사귄건 3개월정도 사귀었는데 전전남친이랑 사귄건 한달도 안되었는데도 너무 아파요..

#1313번째_쪽지 #로기

____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
_ 전대숲에 올라오지 않은 더많은 대숲이야기
.
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
8,2017-06-02 15:00:04,1,"#부천대학교 '바보' 님

어떤 아이를 많이 좋아해요. 
표현은 하나도 못하지만 참 많이 좋아해요.
'어디야?'라는 시덥지 않은 카톡도 못해요. 
'뭐해?'라는 일상 카톡도 못해요.
안그런줄 알았는데 제가 참 쑥쓰럼이 많는가봐요.
사겼다가 얼마 안되서 헤어진 남자친구가 있는데 그 친구와 친구라서 더 가까이 못해요.
남들이 보면 친한줄 아는데 볼 때마다 되게 어색해요.
혼자 마음고생만 계속 하다가 이제 포기하려고요.
어떻게 해야 마음을 접을 수 있을까요 

#1292번째 쪽지  에디터 #아로미"
9,2017-06-02 13:55:50,2572,"어제 아재개그를 올렸더니 반응이 좋더라구요
그래서 오늘도 찾아왔습니다?
복학생들 다 태그?

by. 에디터 #깡다
____________♧_________________
이글은 '시크릿빌'의 후원으로 게재되었습니다.
진짜 대학생들의 익명 커뮤니티 '시크릿빌'
_ 19금 게시판이 있습니다..ㅎㅎ
_ 님네 학교별 게시판도 있어요
,
구글플레이에서 '시크릿빌' 검색하기
iOS는 secretvill 닷 컴"
