"","fb_data9.message"
"1","#94650번째울림
2017. 09. 20. 오후
<질문/건의/의견>
질문있어요 대숲
나이는 상관없이, 우리 생각해봐여  우리학교는 학부제가 많자나요? 1학년 때 솔직히 좀 부담있자나요 그죠? 
1번. 우리대학교1학년 학생이 1학기에 연애하고 서울에 와서 놀거 다놀아보고(클럽, 술, 친구, 서울웬만한곳 다가봄) 성적 망한거 2점대후반 vs 2번.다른대학교 전공있는 학생이 소개팅 1번에 연애못함 그냥 공부열심히 해서 3점 후반대 나옴

둘중 내가 다시 1학년이 된다면 어떤 삶을 살아보실래요?"
"2","#94649번째울림
2017. 09. 20. 오후
<인간관계>
동아리 친구야 남친 보고싶다고 징징대지마
짜증나 예전에 누가 헤어져서 몇번 얘기한 것 같고는 그렇게 그만했음 좋겠다고 하고는 모쏠일 때는 맨날 사귈수 있을까 징징대더니 이제는 남친 바쁘다고 못 본다고 징징대는거야
너때문에 동방을 못 가겠단다"
"3","#94648번째울림
2017. 09. 20. 오후
<사랑>
따뜻했던 봄날에 맑고 순수했던 너의 모습에서 구름 한점 없는 봄하늘이, 조그마한 파동하나 없는 맑은 호수가 보였다.
어쩌면 너에게 카톡으로 오늘 날씨가 너무 맑다라는 아무 맥락없는 말을 했을때 나는 이미 너를 떠올리며 걷던 것이었을지도 모른다.
바람이 선선하게 부는 가을, 이제는 서로가 등을 돌리게 된 우리 사이이지만, 푸르고 맑은 하늘을 보면 나도 모르는사이에 나를 향해 웃던 그 이쁜 미소가 떠올라 씁쓸한 웃음을 짓게된다.
나에게 맑은 하늘 같았던 너는 어제도 맑았고 오늘도 맑으며 내일도 맑을 것이다.
대숲을 잘 보지않는 너이지만 이건 니 얘기가 맞아."
"4","#94647번째울림
2017. 09. 20. 오후
<사랑>
오빠 많이 많이 보고싶다 연락한번만 해줘 목소리라도 듣고싶다 오빠"
"5","#94646번째울림
2017. 09. 20. 오후
<사는얘기>
성균관대역이라는 명칭은 잘못되었다
성균관대신관꼭대기보임역이야 해야한다"
"6","#94645번째울림
2017. 09. 20. 오전
<#야나무숲>
살려주세요 여잔데요..남자친구랑 톡만해도...그... 흥분이 되서 죽을거같아요ㅜㅜ 이런게 흔한가요..미치겠네요"
"7","#94644번째울림
2017. 09. 20. 오후
<저.. 진지합니다>
혹시 임신일까봐.. 너무 무서워요
임신테스트기 써봐야할까요..
가능성희박한거 아는데 그래도.."
"8","#94643번째울림
2017. 09. 20. 오후
<인간관계>
삼수생 왜 이렇게 매력 터지는 걸까요..."
"9","#94642번째울림
2017. 09. 20. 오후
<사는얘기>
잘생기고 싶다ㅠ"
"10","#94641번째울림
2017. 09. 20. 오후
<사는얘기>
사는게 싫은게 아닙니다
이렇게 사는게 싫습니다..."
